id,value
root,1
root.topic0,1
root.topic0.malala,1
root.topic0.malala.activist,1
root.topic0.malala.girl,1
root.topic0.malala.pakistan,1
root.topic0.malala.shot,1
root.topic0.malala.taliban,1
root.topic0.malala.yousafzai,1
root.topic0.yousafzai,1
root.topic0.yousafzai.girl,1
root.topic0.yousafzai.malala,1
root.topic0.yousafzai.pakistan,1
root.topic0.yousafzai.taliban,1
root.topic0.year,1
root.topic0.year.kendrick,1
root.topic0.year.lamar,1
root.topic0.year.lyricist,1
root.topic1,1
root.topic1.awards,1
root.topic1.awards.bet,1
root.topic1.awards.hiphop,1
root.topic1.bet,1
root.topic1.bet.awards,1
root.topic1.bet.hiphop,1
root.topic1.chainz,1
root.topic1.chainz.2,1
root.topic1.chainz.choir,1
root.topic2,1
root.topic2.omarion,1
root.topic2.omarion.dancing,1
root.topic2.omarion.stage,1
root.topic2.syrian,1
root.topic2.syrian.ankara,1
root.topic2.syrian.fighter,1
root.topic2.syrian.force,1
root.topic2.syrian.intercepts,1
root.topic2.syrian.land,1
root.topic2.syrian.passenger,1
root.topic2.syrian.plane,1
root.topic2.syrian.syria,1
root.topic2.syrian.turkey,1
root.topic2.syrian.turkish,1
root.topic2.dancing,1
root.topic2.dancing.ass,1
root.topic2.dancing.like,1
root.topic2.dancing.omarion,1
root.topic3,1
root.topic3.armstrong,1
root.topic3.armstrong.agency,1
root.topic3.armstrong.anti-doping,1
root.topic3.armstrong.doping,1
root.topic3.armstrong.lance,1
root.topic3.armstrong.says,1
root.topic3.armstrong.usada,1
root.topic3.lance,1
root.topic3.lance.agency,1
root.topic3.lance.anti-doping,1
root.topic3.lance.armstrong,1
root.topic3.lance.doping,1
root.topic3.lance.says,1
root.topic3.lance.usada,1
root.topic3.doping,1
root.topic3.doping.agency,1
root.topic3.doping.armstrong,1
root.topic3.doping.hincapie,1
root.topic3.doping.lance,1
root.topic3.doping.program,1
root.topic3.doping.usada,1
root.topic4,1
root.topic4.riot,1
root.topic4.riot.a,1
root.topic4.riot.appeal,1
root.topic4.riot.band,1
root.topic4.riot.court,1
root.topic4.riot.freed,1
root.topic4.riot.frees,1
root.topic4.riot.member,1
root.topic4.riot.members,1
root.topic4.riot.moscow,1
root.topic4.riot.one,1
root.topic4.riot.punk,1
root.topic4.riot.pussy,1
root.topic4.riot.russian,1
root.topic4.riot.three,1
root.topic4.pussy,1
root.topic4.pussy.a,1
root.topic4.pussy.appeal,1
root.topic4.pussy.band,1
root.topic4.pussy.court,1
root.topic4.pussy.freed,1
root.topic4.pussy.frees,1
root.topic4.pussy.hearing,1
root.topic4.pussy.member,1
root.topic4.pussy.members,1
root.topic4.pussy.moscow,1
root.topic4.pussy.one,1
root.topic4.pussy.punk,1
root.topic4.pussy.riot,1
root.topic4.pussy.russian,1
root.topic4.pussy.three,1
root.topic4.court,1
root.topic4.court.a,1
root.topic4.court.appeal,1
root.topic4.court.band,1
root.topic4.court.freed,1
root.topic4.court.frees,1
root.topic4.court.member,1
root.topic4.court.members,1
root.topic4.court.moscow,1
root.topic4.court.one,1
root.topic4.court.punk,1
root.topic4.court.pussy,1
root.topic4.court.riot,1
root.topic4.court.russian,1
root.topic4.court.three,1
root.topic5,1
root.topic5.keyshia,1
root.topic5.keyshia.cole,1
root.topic5.keyshia.daniel,1
root.topic5.keyshia.i,1
root.topic5.daniel,1
root.topic5.daniel.family,1
root.topic5.daniel.i,1
root.topic5.daniel.keyshia,1
root.topic5.amp,1
root.topic6,1
root.topic6.nobel,1
root.topic6.nobel.2012,1
root.topic6.nobel.american,1
root.topic6.nobel.americans,1
root.topic6.nobel.brian,1
root.topic6.nobel.chemistry,1
root.topic6.nobel.kobilka,1
root.topic6.nobel.lefkowitz,1
root.topic6.nobel.prize,1
root.topic6.nobel.robert,1
root.topic6.nobel.scientists,1
root.topic6.nobel.two,1
root.topic6.nobel.win,1
root.topic6.prize,1
root.topic6.prize.2012,1
root.topic6.prize.american,1
root.topic6.prize.americans,1
root.topic6.prize.brian,1
root.topic6.prize.chemistry,1
root.topic6.prize.kobilka,1
root.topic6.prize.lefkowitz,1
root.topic6.prize.nobel,1
root.topic6.prize.robert,1
root.topic6.prize.scientists,1
root.topic6.prize.two,1
root.topic6.prize.win,1
root.topic6.chemistry,1
root.topic6.chemistry.2012,1
root.topic6.chemistry.american,1
root.topic6.chemistry.americans,1
root.topic6.chemistry.brian,1
root.topic6.chemistry.kobilka,1
root.topic6.chemistry.lefkowitz,1
root.topic6.chemistry.nobel,1
root.topic6.chemistry.prize,1
root.topic6.chemistry.robert,1
root.topic6.chemistry.scientists,1
root.topic6.chemistry.two,1
root.topic6.chemistry.win,1
root.topic7,1
root.topic7.keyshia,1
root.topic7.keyshia.cole,1
root.topic7.keyshia.daniel,1
root.topic7.keyshia.i,1
root.topic7.meek,1
root.topic7.meek.mill,1
root.topic7.meek.millz,1
root.topic7.cole,1
root.topic7.cole.i,1
root.topic7.cole.keyshia,1
root.topic7.cole.show,1
root.topic8,1
root.topic8.bae,1
root.topic8.bae.aerospace,1
root.topic8.bae.defence,1
root.topic8.bae.eads,1
root.topic8.bae.merger,1
root.topic8.bae.plans,1
root.topic8.bae.systems,1
root.topic8.bae.talks,1
root.topic8.eads,1
root.topic8.eads.aerospace,1
root.topic8.eads.bae,1
root.topic8.eads.defence,1
root.topic8.eads.merger,1
root.topic8.eads.plans,1
root.topic8.eads.systems,1
root.topic8.eads.talks,1
root.topic8.merger,1
root.topic8.merger.aerospace,1
root.topic8.merger.bae,1
root.topic8.merger.defence,1
root.topic8.merger.eads,1
root.topic8.merger.plans,1
root.topic8.merger.systems,1
root.topic9,1
root.topic9.joe,1
root.topic9.joe.fat,1
root.topic9.joe.lost,1
root.topic9.joe.weight,1
root.topic9.fat,1
root.topic9.fat.joe,1
root.topic9.fat.lost,1
root.topic9.fat.weight,1
root.topic9.sandusky,1
root.topic9.sandusky.jerry,1
root.topic9.sandusky.prison,1
root.topic9.sandusky.sentenced,1
root.topic9.sandusky.years,1
