id,value
root,1
root.topic0,1
root.topic0.joe,1
root.topic0.joe.fat,1
root.topic0.joe.lost,1
root.topic0.joe.weight,1
root.topic0.fat,1
root.topic0.fat.joe,1
root.topic0.fat.lost,1
root.topic0.fat.weight,1
root.topic1,1
root.topic1.omarion,1
root.topic1.omarion.dancing,1
root.topic1.omarion.stage,1
root.topic2,1
root.topic2.kendrick,1
root.topic2.kendrick.?,1
root.topic2.kendrick.kanye,1
root.topic2.kendrick.lamar,1
root.topic2.kendrick.lyricist,1
root.topic2.kendrick.nas,1
root.topic2.kendrick.year,1
root.topic2.year,1
root.topic2.year.kendrick,1
root.topic2.year.lamar,1
root.topic2.year.lyricist,1
root.topic2.lyricist,1
root.topic2.lyricist.kendrick,1
root.topic2.lyricist.lamar,1
root.topic2.lyricist.year,1
root.topic3,1
root.topic3.keyshia,1
root.topic3.keyshia.cole,1
root.topic3.keyshia.daniel,1
root.topic3.keyshia.i,1
root.topic3.daniel,1
root.topic3.daniel.family,1
root.topic3.daniel.i,1
root.topic3.daniel.keyshia,1
root.topic4,1
root.topic4.amp,1
root.topic5,1
root.topic5.riot,1
root.topic5.riot.a,1
root.topic5.riot.appeal,1
root.topic5.riot.band,1
root.topic5.riot.court,1
root.topic5.riot.freed,1
root.topic5.riot.frees,1
root.topic5.riot.member,1
root.topic5.riot.members,1
root.topic5.riot.moscow,1
root.topic5.riot.one,1
root.topic5.riot.punk,1
root.topic5.riot.pussy,1
root.topic5.riot.russian,1
root.topic5.riot.three,1
root.topic5.pussy,1
root.topic5.pussy.a,1
root.topic5.pussy.appeal,1
root.topic5.pussy.band,1
root.topic5.pussy.court,1
root.topic5.pussy.freed,1
root.topic5.pussy.frees,1
root.topic5.pussy.hearing,1
root.topic5.pussy.member,1
root.topic5.pussy.members,1
root.topic5.pussy.moscow,1
root.topic5.pussy.one,1
root.topic5.pussy.punk,1
root.topic5.pussy.riot,1
root.topic5.pussy.russian,1
root.topic5.pussy.three,1
root.topic5.court,1
root.topic5.court.a,1
root.topic5.court.appeal,1
root.topic5.court.band,1
root.topic5.court.freed,1
root.topic5.court.frees,1
root.topic5.court.member,1
root.topic5.court.members,1
root.topic5.court.moscow,1
root.topic5.court.one,1
root.topic5.court.punk,1
root.topic5.court.pussy,1
root.topic5.court.riot,1
root.topic5.court.russian,1
root.topic5.court.three,1
root.topic6,1
root.topic6.armstrong,1
root.topic6.armstrong.agency,1
root.topic6.armstrong.anti-doping,1
root.topic6.armstrong.doping,1
root.topic6.armstrong.lance,1
root.topic6.armstrong.says,1
root.topic6.armstrong.usada,1
root.topic6.lance,1
root.topic6.lance.agency,1
root.topic6.lance.anti-doping,1
root.topic6.lance.armstrong,1
root.topic6.lance.doping,1
root.topic6.lance.says,1
root.topic6.lance.usada,1
root.topic6.doping,1
root.topic6.doping.agency,1
root.topic6.doping.armstrong,1
root.topic6.doping.hincapie,1
root.topic6.doping.lance,1
root.topic6.doping.program,1
root.topic6.doping.usada,1
root.topic7,1
root.topic7.bae,1
root.topic7.bae.aerospace,1
root.topic7.bae.defence,1
root.topic7.bae.eads,1
root.topic7.bae.merger,1
root.topic7.bae.plans,1
root.topic7.bae.systems,1
root.topic7.bae.talks,1
root.topic7.eads,1
root.topic7.eads.aerospace,1
root.topic7.eads.bae,1
root.topic7.eads.defence,1
root.topic7.eads.merger,1
root.topic7.eads.plans,1
root.topic7.eads.systems,1
root.topic7.eads.talks,1
root.topic7.merger,1
root.topic7.merger.aerospace,1
root.topic7.merger.bae,1
root.topic7.merger.defence,1
root.topic7.merger.eads,1
root.topic7.merger.plans,1
root.topic7.merger.systems,1
root.topic8,1
root.topic8.obama,1
root.topic8.obama.afghan,1
root.topic8.obama.afghanistan,1
root.topic8.obama.barack,1
root.topic8.obama.commander,1
root.topic8.obama.marine,1
root.topic8.obama.nominates,1
root.topic8.obama.president,1
root.topic8.obama.top,1
root.topic8.commander,1
root.topic8.commander.afghan,1
root.topic8.commander.allen,1
root.topic8.commander.general,1
root.topic8.commander.marine,1
root.topic8.commander.nominates,1
root.topic8.commander.obama,1
root.topic8.commander.top,1
root.topic8.marine,1
root.topic8.marine.afghan,1
root.topic8.marine.afghanistan,1
root.topic8.marine.allied,1
root.topic8.marine.barack,1
root.topic8.marine.command,1
root.topic8.marine.commander,1
root.topic8.marine.dunford,1
root.topic8.marine.expected,1
root.topic8.marine.forces,1
root.topic8.marine.gen,1
root.topic8.marine.in,1
root.topic8.marine.nominates,1
root.topic8.marine.obama,1
root.topic8.marine.take,1
root.topic8.marine.top,1
root.topic8.marine.washington,1
root.topic9,1
root.topic9.malala,1
root.topic9.malala.activist,1
root.topic9.malala.girl,1
root.topic9.malala.pakistan,1
root.topic9.malala.shot,1
root.topic9.malala.taliban,1
root.topic9.malala.yousafzai,1
root.topic9.yousafzai,1
root.topic9.yousafzai.girl,1
root.topic9.yousafzai.malala,1
root.topic9.yousafzai.pakistan,1
root.topic9.yousafzai.taliban,1
root.topic10,1
root.topic10.awards,1
root.topic10.awards.bet,1
root.topic10.awards.hiphop,1
root.topic11,1
root.topic11.nobel,1
root.topic11.nobel.2012,1
root.topic11.nobel.american,1
root.topic11.nobel.americans,1
root.topic11.nobel.brian,1
root.topic11.nobel.chemistry,1
root.topic11.nobel.kobilka,1
root.topic11.nobel.lefkowitz,1
root.topic11.nobel.prize,1
root.topic11.nobel.robert,1
root.topic11.nobel.scientists,1
root.topic11.nobel.two,1
root.topic11.nobel.win,1
root.topic11.prize,1
root.topic11.prize.2012,1
root.topic11.prize.american,1
root.topic11.prize.americans,1
root.topic11.prize.brian,1
root.topic11.prize.chemistry,1
root.topic11.prize.kobilka,1
root.topic11.prize.lefkowitz,1
root.topic11.prize.nobel,1
root.topic11.prize.robert,1
root.topic11.prize.scientists,1
root.topic11.prize.two,1
root.topic11.prize.win,1
root.topic11.chemistry,1
root.topic11.chemistry.2012,1
root.topic11.chemistry.american,1
root.topic11.chemistry.americans,1
root.topic11.chemistry.brian,1
root.topic11.chemistry.kobilka,1
root.topic11.chemistry.lefkowitz,1
